date,playerA_id,playerB_id,winner_id,a_games_won,b_games_won,a_points,b_points,a_serve_rallies,a_serve_wins,b_serve_rallies,b_serve_wins,a_short_serve_rate,a_flick_serve_rate,a_attack_rate,a_neutral_rate,a_safe_rate,b_short_serve_rate,b_flick_serve_rate,b_attack_rate,b_neutral_rate,b_safe_rate,tournament,round,duration_min,match_sets,avg_rally_len,long_rally_share,a_backhand_rate,b_backhand_rate,a_aroundhead_rate,b_aroundhead_rate,a_net_error_lost_rate,b_net_error_lost_rate,a_out_error_lost_rate,b_out_error_lost_rate,a_short_serve_win_rate,b_short_serve_win_rate,a_long_serve_win_rate,b_long_serve_win_rate,a_short_serve_samples,b_short_serve_samples,a_long_serve_samples,b_long_serve_samples
2018-06-29,kento_momota,chou_tien_chen,kento_momota,2,0,41,30,31,13,22,7,0.9677,0.0323,0.3679,0.1693,0.4628,0.7727,0.2273,0.3917,0.1772,0.4311,Malaysia Open 2018,Quarter-finals,53,2,13.5,0.625,0.3897,0.423,0.0825,0.0411,0.2667,0.439,0.2,0.2439,0.4,0.2353,1.0,0.6,30,17,1,5
2018-10-21,kento_momota,chou_tien_chen,kento_momota,2,1,55,54,55,25,50,21,0.9818,0.0182,0.2793,0.117,0.6037,0.92,0.08,0.2803,0.1641,0.5556,Denmark Open 2018,Finals,77,3,11.7054,0.5893,0.4131,0.4519,0.0823,0.0427,0.2222,0.2727,0.3704,0.3455,0.463,0.4348,0.0,0.25,54,46,1,4
2018-11-11,kento_momota,chou_tien_chen,kento_momota,2,1,50,44,48,22,43,15,0.9792,0.0208,0.2689,0.1572,0.5739,0.9767,0.0233,0.2203,0.2411,0.5386,Fuzhou Open 2018,Finals,67,3,11.3107,0.6408,0.4014,0.4288,0.0703,0.0806,0.3409,0.36,0.3409,0.4,0.4681,0.3571,0.0,0.0,47,42,1,1
2019-05-19,ng_ka_long_angus,chou_tien_chen,chou_tien_chen,0,2,30,41,24,13,24,17,1.0,0.0,0.2675,0.1911,0.5414,1.0,0.0,0.177,0.1869,0.6361,Sudirman Cup 2019,Group-Stage,41,2,9.6111,0.5556,0.3295,0.4624,0.1445,0.0867,0.3902,0.2333,0.3171,0.3,0.5417,0.7083,0.5,0.5,24,24,0,0
2019-05-24,jonatan_christie,chou_tien_chen,chou_tien_chen,0,2,24,42,15,4,27,16,0.9333,0.0667,0.3617,0.1702,0.4681,0.8519,0.1481,0.2193,0.2368,0.5439,Sudirman Cup 2019,Quarter-finals,36,2,8.0152,0.5303,0.3385,0.461,0.0923,0.0372,0.2381,0.375,0.2857,0.2083,0.2857,0.5217,0.0,1.0,14,23,1,4
2019-07-19,jonatan_christie,chou_tien_chen,chou_tien_chen,1,2,53,58,21,11,24,14,0.9048,0.0952,0.2942,0.1733,0.5325,0.9167,0.0833,0.2278,0.1736,0.5986,Indonesia Open 2019,Quarter-finals,76,3,10.982,0.5586,0.4187,0.3639,0.0591,0.041,0.3448,0.3396,0.2069,0.2075,0.5263,0.5909,0.5,0.5,19,22,2,2
2019-09-29,chou_tien_chen,kento_momota,kento_momota,0,2,36,42,27,9,36,16,0.963,0.037,0.3747,0.1862,0.4391,0.8889,0.1111,0.2901,0.1627,0.5472,KOREA OPEN 2019,Finals,53,2,11.8974,0.6795,0.4111,0.3926,0.0493,0.0499,0.4048,0.2778,0.2857,0.1944,0.3462,0.4688,0.0,0.25,26,32,1,4
2019-10-17,chou_tien_chen,chen_long,chen_long,0,2,30,38,31,13,37,20,0.9677,0.0323,0.3075,0.1818,0.5107,0.973,0.027,0.2893,0.1349,0.5758,Denmark Open 2019,Quarter-finals,54,2,11.0541,0.6351,0.3966,0.4545,0.0973,0.113,0.4737,0.2667,0.2368,0.2667,0.4,0.5278,1.0,1.0,30,36,1,1
2019-11-09,anders_antonsen,chou_tien_chen,chou_tien_chen,0,2,23,41,19,7,31,20,0.6842,0.3158,0.3108,0.1723,0.5169,0.8065,0.1935,0.3119,0.1768,0.5113,Fuzhou Open 2019,Semi-finals,45,2,11.0,0.6719,0.3639,0.2901,0.1691,0.1493,0.2927,0.5652,0.3902,0.1304,0.4615,0.68,0.1667,0.5,13,25,6,6
2019-11-10,kento_momota,chou_tien_chen,kento_momota,2,1,59,54,59,32,53,26,0.9661,0.0339,0.285,0.2058,0.5092,0.4906,0.5094,0.2846,0.238,0.4774,Fuzhou Open 2019,Finals,83,3,14.5487,0.6726,0.3366,0.3785,0.1053,0.0653,0.1667,0.4576,0.3704,0.2881,0.5439,0.4615,0.5,0.5185,57,26,2,27
2019-12-13,chou_tien_chen,chen_long,chen_long,0,2,33,42,27,10,38,21,0.9259,0.0741,0.3367,0.2143,0.449,0.9737,0.0263,0.3018,0.1509,0.5473,World Tour Finals,Group-Stage,52,2,11.4667,0.6133,0.3812,0.4552,0.1106,0.1103,0.2857,0.5152,0.2619,0.1818,0.4,0.5676,0.0,0.0,25,37,2,1
